,duration,parseHTML,javaScript,javaScriptCompile,styles,updateLayerTree,layout,paint,raster,composite,domContentLoaded,loadTime,firstPaint,forcedRecalcs,lcp,fid,configuration
setup1run37,7237.58900000155,309.66299999999956,4.930999999999999,0.064,419.76499999999885,0,350.39300000000014,347.51999999999293,0,0,4998.018000006676,4998.371000006795,0,2,4418.399999991059,8.700000002980232,bion,
setup1run38,7479.483999997377,309.0920000000062,3.996999999999998,0.059,357.06399999999934,0,307.0410000000001,346.45199999999363,0,0,5008.232999995351,5008.478000000119,0,2,4517.20000000298,7.9000000059604645,bion,
setup1run39,7255.033000007272,276.59799999999956,3.4699999999999984,0.061,359.8809999999991,0,305.09599999999995,342.54799999999113,0,0,5027.519000008702,5027.758000001311,0,2,4679.399999991059,7.799999997019768,bion,
setup1run40,7054.827000007033,308.59799999999933,4.031999999999992,0.079,373.74499999999927,0,300.893,351.1569999999901,0,0,4851.2919999957085,4851.563000008464,0,2,4446.100000008941,8.899999991059303,bion,
setup1run41,6904.1500000059605,287.5160000000068,4.0159999999999965,0.09,362.8629999999993,0,292.56599999999986,311.43099999999606,0,0,4617.061000004411,4617.336999997497,0,2,4174.79999999702,8.099999994039536,bion,
setup1run42,7077.783999994397,311.6240000000072,4.433999999999994,0.15,356.87999999999914,0,307.4670000000001,319.2489999999966,0,0,4888.540999993682,4888.826999992132,0,2,4511.100000008941,8,bion,
setup1run43,6808.51099999249,283.5020000000123,3.9409999999999914,0.137,342.2209999999993,0,284.1059999999999,332.8999999999899,0,0,4567.0139999985695,4567.2210000008345,0,2,4127.600000008941,7.800000011920929,bion,
setup1run44,6829.149999991059,294.46000000000544,3.7140000000000013,0.323,339.25999999999937,0,284.67800000000005,330.5619999999912,0,0,4620.732999995351,4620.939999997616,0,2,4289.0999999940395,8.400000005960464,bion,
setup1run45,6725.304000005126,287.49800000000556,3.8070000000000004,0.132,371.5549999999993,0,298.585,342.0739999999963,0,0,4507.798000007868,4508.009000003338,0,2,4138.5,7.799999997019768,bion,
setup1run46,6961.114999994636,285.40800000001065,4.575999999999991,0.146,363.67699999999934,0,282.9939999999999,302.9249999999909,0,0,4677.398000001907,4677.678999990225,0,2,4321.5999999940395,8.800000011920929,bion,
setup1run47,7291.676000003815,317.69799999999583,3.993000000000005,0.113,392.72399999999925,0,324.73499999999996,353.78299999999535,0,0,5111.274000003934,5111.512999996543,0,2,4588.9000000059605,8.200000002980232,bion,
setup1run48,6935.440000012517,290.00100000000856,3.9480000000000035,0.105,398.86199999999906,0,308.81600000000003,343.1519999999891,0,0,4558.905000001192,4559.145000010729,0,2,4206.399999991059,7.699999988079071,bion,
setup1run49,7708.20000000298,305.3379999999958,4.119000000000006,0.095,366.1369999999992,0,302.802,354.23799999999136,0,0,4983.998999997973,4984.188999995589,0,2,4596.100000008941,8.200000002980232,bion,
setup2run0,5684.195999999996,251.74300000000153,5.150000000000009,0.086,183.38799999999944,0,152.1799999999998,254.53899999999499,0,0,450.0529999999999,2998.869000000006,0,2,3583.5,8,bion_bxs1,
setup2run1,6910.16100000008,298.8029999999995,4.443000000000003,0.087,363.88799999999907,0,294.80699999999996,363.0449999999945,0,0,4549.350000000093,4549.657000000123,0,2,4229.299999999814,9.300000000046566,bion_bxs1,
setup2run2,7101.445999999996,306.7350000000038,4.041000000000001,0.065,345.1359999999991,0,309.30600000000004,323.5089999999961,0,0,4682.807999999728,4683.10599999968,0,2,4286.9000000003725,9.700000000186265,bion_bxs1,
setup2run3,6970.067000000738,292.4390000000036,4.5039999999999925,0.14,413.26999999999884,0,350.577,365.00199999999535,0,0,4782.271999999881,4782.501000000164,0,2,4370.0999999996275,8.299999999813735,bion_bxs1,
setup2run4,7148.881000000052,312.28300000000365,3.9240000000000013,0.1,337.13299999999947,0,323.5329999999999,324.67499999999444,0,0,4799.673000000417,4799.889999999665,0,2,4388.5,9.300000000745058,bion_bxs1,
setup2run5,7233.154000001028,311.0780000000049,5.793999999999993,0.079,367.2949999999991,0,318.565,338.208999999993,0,0,4912.953999999911,4913.321000000462,0,2,4490.800000000745,11.599999999627471,bion_bxs1,
setup2run6,7082.573999999091,310.5489999999923,3.7859999999999996,0.063,388.2879999999992,0,308.9800000000001,372.8369999999893,0,0,4875.921999998391,4876.1739999987185,0,2,4424.800000000745,10.599999999627471,bion_bxs1,
setup2run7,7222.882999999449,308.7039999999958,4.191999999999992,0.076,374.37499999999915,0,337.33699999999993,367.8899999999921,0,0,4855.809000000358,4856.173000000417,0,2,4377.199999999255,8.5,bion_bxs1,
setup2run8,7299.877000000328,298.33500000001,4.4529999999999825,0.07,349.6619999999993,0,334.95399999999995,355.7789999999916,0,0,4956.714999999851,4957.19299999997,0,2,4431.799999998882,8.699999999254942,bion_bxs1,
setup2run9,7195.200999997556,302.3730000000069,4.536,0.086,359.7209999999991,0,309.7490000000001,339.9509999999948,0,0,4861.138000000268,4861.366000000387,0,2,4363.300000000745,10,bion_bxs1,
setup2run10,7105.050999999046,320.10399999999845,4.383999999999993,0.106,390.1109999999992,0,298.50800000000004,356.04099999999374,0,0,4889.074999999255,4889.2910000011325,0,2,4552.89999999851,8.199999999254942,bion_bxs1,
setup2run11,7145.293000000268,313.595000000003,4.309999999999997,0.061,337.8509999999993,0,284.9139999999997,320.8689999999922,0,0,4827.129000000656,4827.367000002414,0,2,4417.89999999851,9.300000000745058,bion_bxs1,
setup2run12,7110.758999999613,298.3589999999993,3.947999999999995,0.062,459.75500000000335,0,350.88199999999995,376.6609999999962,0,0,4893.263000000268,4893.491000000387,0,2,4492.39999999851,8.199999999254942,bion_bxs1,
setup2run13,7318.844000000507,305.70199999999693,3.818000000000003,0.105,387.31699999999904,0,329.0639999999999,342.5149999999928,0,0,4929.563999999315,4930.063000001013,0,2,4454.800000000745,11.199999999254942,bion_bxs1,
setup2run14,7142.962000001222,298.16800000000956,4.379000000000004,0.107,353.5669999999993,0,304.7250000000001,395.54299999999006,0,0,4915.863000001758,4916.228000000119,0,2,4429.39999999851,9.399999998509884,bion_bxs1,
setup2run15,7145.127999998629,313.44900000000115,4.622999999999993,0.067,345.9289999999994,0,313.3419999999999,378.4649999999967,0,0,4811,4811.263000000268,0,2,4399.20000000298,9.900000002235174,bion_bxs1,
setup2run16,7176.521999999881,315.3429999999947,4.117000000000007,0.09,359.8919999999991,0,294.693,347.9649999999976,0,0,4864.550999999046,4864.81799999997,0,2,4452.70000000298,11.399999998509884,bion_bxs1,
setup2run17,7242.853000000119,310.45600000000314,4.194000000000001,0.122,359.0079999999992,0,319.43,371.9649999999935,0,0,4910.448999993503,4910.69999999553,0,2,4446.69999999553,8,bion_bxs1,
setup2run18,6301.645000003278,277.5740000000102,3.9210000000000007,0.09,183.6419999999994,0,156.49199999999982,301.2279999999965,0,0,4034.1600000038743,4034.4610000029206,0,2,4135,11.600000001490116,bion_bxs1,
setup2run19,6935.749000005424,289.81200000000484,3.9509999999999885,0.054,410.25799999999884,0,318.58600000000007,382.8899999999951,0,0,4726.280000001192,4726.518000006676,0,2,4295.60000000149,9,bion_bxs1,
setup2run20,7150.230999998748,299.22400000000664,4.3379999999999965,0.068,395.88199999999944,0,354.6329999999998,405.6210000000012,0,0,4885.1810000017285,4885.869999997318,0,2,4476.9000000059605,8.200000002980232,bion_bxs1,
setup2run21,7023.092000000179,301.8779999999995,4.359999999999998,0.074,364.93599999999907,0,316.2079999999999,368.9179999999939,0,0,4821.824000000954,4822.050999999046,0,2,4360.89999999851,7.600000001490116,bion_bxs1,
setup2run22,7073.5139999985695,293.45500000000254,3.9679999999999995,0.092,410.14899999999943,0,329.1659999999998,390.8739999999964,0,0,4802.494000002742,4802.758000001311,0,2,4349.19999999553,8.100000001490116,bion_bxs1,
setup2run23,7549.660000003874,292.969999999991,3.7489999999999997,0.07,394.74499999999927,0,305.2120000000001,381.5059999999954,0,0,5346.048000000417,5346.252000004053,0,2,4935.89999999851,8.100000001490116,bion_bxs1,
setup2run24,7024.829000003636,303.62899999999775,3.9699999999999984,0.07,365.4049999999992,0,294.9200000000001,384.095999999993,0,0,4705.436999998987,4705.752999998629,0,2,4252.89999999851,10.799999997019768,bion_bxs1,
setup2run25,7701.377000004053,309.4569999999989,4.063999999999999,0.074,390.9409999999993,0,342.8769999999999,334.69699999999875,0,0,5480.829999998212,5481.11400000006,0,2,5068,9.300000004470348,bion_bxs1,
setup2run26,6961.494999997318,306.9710000000046,3.749000000000004,0.066,317.1099999999993,0,270.2559999999998,318.71899999999573,0,0,4632.054999999702,4632.2519999966025,0,2,4294.89999999851,8.399999998509884,bion_bxs1,
setup2run27,6691.565999999642,298.0860000000001,3.571000000000008,0.122,349.93399999999906,0,285.36200000000014,328.4079999999916,0,0,4460.462999999523,4460.6930000036955,0,2,4146.79999999702,7.800000004470348,bion_bxs1,
setup2run28,6827.935000002384,302.74700000000735,3.6979999999999995,0.141,318.8839999999994,0,265.3429999999999,318.0449999999949,0,0,4630.563000001013,4631.190999999642,0,2,4308.29999999702,8.400000005960464,bion_bxs1,
setup2run29,7134.159000001848,303.70799999999736,4.316999999999998,0.098,348.96899999999926,0,290.83000000000015,310.0669999999932,0,0,4791.605999998748,4791.847999997437,0,2,4342.89999999851,8.299999997019768,bion_bxs1,
setup2run30,6912.038000002503,281.3880000000099,3.8640000000000025,0.061,340.46399999999926,0,291.278,342.20999999999356,0,0,4658.727000005543,4658.92500000447,0,2,4252.10000000149,7.899999998509884,bion_bxs1,
setup2run31,7019.188999995589,301.03500000000747,3.724999999999995,0.08,317.10199999999946,0,270.4299999999998,314.50499999999596,0,0,4693.202999994159,4693.478000000119,0,2,4277.89999999851,8.100000001490116,bion_bxs1,
setup2run32,7183.527000002563,293.42400000000913,4.177999999999992,0.101,355.74499999999915,0,300.0139999999999,337.8329999999924,0,0,4880.8339999988675,4881.081000000238,0,2,4485.79999999702,7.800000004470348,bion_bxs1,
setup2run33,7980.1110000014305,370.2619999999832,4.066000000000007,0.091,449.12800000000004,0,355.5909999999999,368.4039999999958,0,0,5685.251000002027,5685.576999999583,0,2,5308.19999999553,9.900000005960464,bion_bxs1,
setup2run34,7157.77499999851,311.31300000000226,5.170999999999993,0.067,364.71099999999944,0,301.9469999999999,380.83799999999195,0,0,4818.019000001252,4818.4869999960065,0,2,4444.39999999851,9.299999997019768,bion_bxs1,
