,duration,parseHTML,javaScript,javaScriptCompile,styles,updateLayerTree,layout,paint,raster,composite,domContentLoaded,loadTime,firstPaint,forcedRecalcs,lcp,fid,configuration
setup0run27,6952.487999999896,290.4890000000025,5.9250000000000025,0.058,156.49799999999996,0,170.15499999999997,349.65200000000004,0,0,707.1690000006929,707.9960000002757,0,2,4490.899999999441,8.900000000372529,,
setup0run28,6638.38599999994,273.83400000000466,5.679000000000016,0.158,146.093,0,155.72499999999997,287.041,0,0,603.5920000001788,604.2790000000969,0,2,4221.700000000186,8.5,,
setup0run29,6667.139000000432,273.70600000000803,5.7650000000000015,0.062,155.83199999999997,0,199.027,339.433,0,0,572.3389999996871,573.1189999999478,0,2,4286,8.799999999813735,,
setup0run30,6539.848999999464,273.83200000000727,6.108,0.091,144.193,0,156.73,319.493,0,0,610.4199999999255,612.0299999993294,0,2,4124.9000000003725,8.5,,
setup0run31,6778.594000000507,287.5440000000025,6.145999999999997,0.096,152.84200000000004,0,167.863,316.88500000000005,0,0,678.0370000004768,678.7620000001043,0,2,4396.700000000186,10.200000000186265,,
setup0run32,6600.450999999419,270.25400000000576,5.8290000000000015,0.073,146.245,0,158.80499999999998,222.139,0,0,623.4599999999627,624.1919999998063,0,2,4162.9000000003725,8.5,,
setup0run33,6929.637000000104,290.84300000000405,5.517000000000004,0.079,153.48899999999998,0,176.15899999999996,300.217,0,0,648.8689999999478,649.527999999933,0,2,4548.799999999814,9.900000000372529,,
setup0run34,6753.025999999605,285.2220000000045,6.048000000000004,0.063,150.50900000000001,0,165.532,301.024,0,0,689.0369999995455,689.6919999998063,0,2,4308.5,9.900000000372529,,
setup0run35,7803.165000000037,356.25199999997614,6.280000000000002,0.075,188.426,0,205.092,296.205,0,0,699.1739999996498,700.6200000001118,0,2,5451.5,10.799999999813735,,
setup0run36,6584.665000000037,268.16100000000677,6.304999999999996,0.105,144.504,0,157.547,333.786,0,0,717.4529999997467,718.2269999999553,0,2,4092.2000000001863,8.600000000558794,,
setup0run37,6567.887999999337,267.569000000004,5.238000000000004,0.056,144.655,0,159.58499999999998,317.526,0,0,722.4830000000075,723.2799999993294,0,2,4065.399999999441,8.200000000186265,,
setup0run38,6878.066999999806,286.15900000000215,5.740000000000005,0.158,159.03499999999997,0,168.70399999999998,284.368,0,0,751.1080000000075,752.0180000001565,0,2,4523.200000000186,8.299999999813735,,
setup0run39,6978.645000000484,291.69899999999865,5.9169999999999945,0.076,159.87299999999996,0,164.64000000000001,300.873,0,0,719.6270000003278,720.4790000002831,0,2,4541.4000000003725,8.299999999813735,,
setup0run40,6968.085999999195,286.454000000003,6.534999999999998,0.061,161.46999999999997,0,210.02,316.134,0,0,670.1639999998733,671.179999999702,0,2,4520.0999999996275,8.200000000186265,,
setup0run41,6817.684000000358,275.602000000005,5.273000000000007,0.119,147.11799999999994,0,158.984,316.61799999999994,0,0,789.3450000006706,789.964999999851,0,2,4196.199999999255,8.400000000372529,,
setup0run42,6620.683000000581,274.8290000000046,5.560999999999989,0.079,141.47099999999998,0,158.48,284.50199999999995,0,0,586.3059999998659,587.1890000011772,0,2,4223.9000000003725,8.200000001117587,,
setup0run43,6718.809000000358,266.67100000000937,5.657000000000002,0.056,144.79099999999997,0,160.894,332.033,0,0,682.7360000014305,683.4050000011921,0,2,4184,8.800000000745058,,
setup0run44,6580.476999999955,282.12900000000667,5.834999999999999,0.074,151.189,0,165.563,329.587,0,0,633.1170000005513,633.9539999999106,0,2,4249.60000000149,8.600000001490116,,
setup0run45,6784.713999999687,287.1220000000024,6.420000000000002,0.176,154.15,0,173.98999999999998,343.88899999999995,0,0,570.5710000004619,571.768999999389,0,2,4403.199999999255,8.900000000372529,,
setup0run46,6714.394999999553,271.3930000000075,5.565999999999995,0.173,148.295,0,158.78699999999998,300.411,0,0,677.8100000005215,678.4930000007153,0,2,4230.200000001118,8.400000000372529,,
setup0run47,6603.464999999851,267.8150000000096,6.097000000000002,0.11,143.785,0,158.89700000000002,327.752,0,0,682.0439999997616,682.6670000012964,0,2,4095.5999999996275,8.5,,
setup0run48,6770.987999999896,286.46699999999953,5.769999999999999,0.11,151.50300000000001,0,165.24999999999997,291.61,0,0,644.1830000001937,645.0139999985695,0,2,4437.299999998882,7.900000000372529,,
setup0run49,6545.7089999988675,264.0230000000083,6.156999999999999,0.156,144.13099999999994,0,155.628,303.485,0,0,590.8449999988079,591.6239999998361,0,2,3984.800000000745,9.299999998882413,,
setup0run50,6611.10899999924,265.9800000000086,5.525000000000009,0.067,145.6,0,155.745,285.78000000000003,0,0,692.2599999997765,693.0149999987334,0,2,4150.5,8.799999998882413,,
setup0run51,6758.36400000006,285.3110000000004,5.6219999999999954,0.087,155.3069999999999,0,166.85199999999998,244.58300000000003,0,0,753.0889999996871,753.8600000012666,0,2,4364.5,9,,
setup0run52,6503.48399999924,261.094000000008,5.507000000000007,0.05,143.99800000000002,0,158.075,250.693,0,0,714.5779999997467,715.2839999999851,0,2,4030.2999999988824,8,,
setup0run53,6921.319000000134,283.46800000000235,5.5040000000000004,0.082,153.42299999999997,0,164.57399999999998,362.086,0,0,671.9550000000745,672.6669999994338,0,2,4351.5,8.900000000372529,,
setup0run54,6823.245000001043,285.27600000000405,5.605999999999996,0.092,152.88499999999996,0,167.647,252.33,0,0,751.7940000016242,752.9180000014603,0,2,4471.9000000003725,8.700000001117587,,
setup0run55,6787.878000000492,284.72299999999734,5.346999999999995,0.124,153.67799999999997,0,168.85199999999998,301.57099999999997,0,0,625.5629999991506,627.1710000000894,0,2,4436.5,8.799999998882413,,
setup0run56,6844.734999999404,282.7110000000033,6.157999999999999,0.059,154.48299999999998,0,163.346,320.02700000000004,0,0,710.1539999991655,710.8529999982566,0,2,4464.300000000745,8,,
setup0run57,6791.08400000073,287.2489999999958,5.528000000000002,0.115,147.34999999999997,0,159.07,292.528,0,0,628.1270000003278,629.1769999992102,0,2,4388.199999999255,8.699999999254942,,
setup0run58,6591.168999999762,271.18600000000765,6.3990000000000045,0.074,143.902,0,156.115,312.381,0,0,599.9069999996573,600.5570000000298,0,2,4170,8,,
setup0run59,6852.746999999508,274.90300000000684,5.663000000000002,0.115,149.08999999999997,0,163.607,316.22700000000003,0,0,610.9140000008047,611.8210000004619,0,2,4373.699999999255,8.5,,
setup0run60,6864.786000000313,272.005000000006,4.960999999999998,0.057,145.034,0,154.36300000000003,311.08500000000004,0,0,763.3020000010729,764.031000001356,0,2,4246.4000000003725,9.099999999627471,,
setup1run0,6075.381999999998,256.16700000000475,4.603,0.045,145.20700000000002,0,153.013,298.07,0,0,461.2810000000027,461.8929999999964,0,2,3728.199999999997,7.80000000000291,noTrans,
setup1run1,6857.533000000025,271.82900000000757,5.595999999999996,0.106,147.11799999999997,0,161.67399999999998,282.808,0,0,543.887000000017,544.7090000000026,0,2,4196.099999999977,9.10000000000582,noTrans,
setup1run2,6591.07699999999,267.7710000000076,5.301999999999994,0.05,142.833,0,155.08899999999997,329.79999999999995,0,0,625.3390000000363,626.3060000000405,0,2,4039,8.299999999988358,noTrans,
setup1run3,6677.822000000044,268.30700000000655,6.02100000000001,0.065,145.923,0,161.192,345.85,0,0,577.0720000000438,577.8279999999795,0,2,4191.900000000023,8.400000000023283,noTrans,
setup1run4,6675.429999999935,265.1840000000075,5.213000000000002,0.094,143.63400000000001,0,157.164,292.271,0,0,778.5019999999786,779.1940000000177,0,2,4200.29999999993,8.100000000093132,noTrans,
setup1run5,6771.37200000009,271.85200000000737,5.840000000000011,0.131,142.80399999999995,0,155.786,328.932,0,0,727.859999999986,728.704000000027,0,2,4274.900000000023,8.599999999976717,noTrans,
setup1run6,6906.295999999973,271.66400000000726,5.686000000000005,0.071,142.63599999999997,0,157.672,329.80300000000005,0,0,827.9000000000233,829.1629999999423,0,2,4339.20000000007,8.400000000023283,noTrans,
setup1run7,6604,266.5650000000082,5.188000000000008,0.079,144.08200000000002,0,155.79800000000003,318.31399999999996,0,0,688.5740000000224,689.3589999999385,0,2,4046.3000000000466,8.5,noTrans,
setup1run8,6634.069999999832,265.6040000000091,5.561000000000009,0.08,145.34599999999998,0,158.69,315.13800000000003,0,0,662.3850000000093,663.7379999998957,0,2,4029,7.800000000046566,noTrans,
setup1run9,6528.344999999972,266.256000000009,5.2160000000000135,0.067,145.441,0,156.999,252.49300000000002,0,0,610.75,612.0169999999925,0,2,4111.300000000047,8.199999999953434,noTrans,
setup1run10,6694.7339999999385,272.687000000007,5.683999999999995,0.148,147.96800000000002,0,155.70600000000002,311.053,0,0,686.935999999987,688.0190000000875,0,2,4288.5,8.199999999953434,noTrans,
setup1run11,5972.530000000261,222.29700000000827,4.702000000000006,0.07,126.34699999999997,0,135.568,298.06500000000005,0,0,456.9620000002906,457.570000000298,0,2,3344.600000000093,7.5,noTrans,
setup1run12,6497.839999999851,268.70100000000843,5.5810000000000075,0.083,151.772,0,155.61399999999998,300.955,0,0,607.6850000000559,608.3410000000149,0,2,4082.7999999998137,8.700000000186265,noTrans,
setup1run13,6463.155000000261,263.68500000000665,5.801000000000004,0.057,144.316,0,155.936,324.168,0,0,644.0050000003539,644.7290000002831,0,2,4028.2999999998137,9,noTrans,
setup1run14,6444.655000000261,264.60900000000754,4.985999999999997,0.106,143.11700000000002,0,155.71200000000002,301.01200000000006,0,0,559.5849999999627,560.4969999995083,0,2,3979.5,9.299999999813735,noTrans,
setup1run15,6600.388999999501,261.5790000000072,5.7710000000000115,0.117,148.934,0,155.48899999999998,308.105,0,0,605.893999999389,606.6260000001639,0,2,4114.5999999996275,8.800000000745058,noTrans,
setup1run16,6348.798000000417,263.91500000000775,5.626999999999995,0.11,142.722,0,154.839,329.708,0,0,560.5670000007376,561.2820000005886,0,2,3952.7999999998137,8.700000000186265,noTrans,
setup1run17,6556.001000000164,265.7800000000069,5.204999999999999,0.056,146.93099999999995,0,157.538,280.299,0,0,620.1380000002682,621.402999999933,0,2,4138.200000000186,8.099999999627471,noTrans,
setup1run18,6547.30700000003,263.8150000000063,5.264000000000006,0.136,142.94800000000004,0,154.983,306.14,0,0,665.722000000067,666.3269999995828,0,2,4132.799999999814,8.5,noTrans,
setup1run19,6509.203999999911,268.7880000000087,5.073999999999997,0.082,147.404,0,155.988,310.97299999999996,0,0,520.9580000005662,521.6780000003055,0,2,4075.7999999998137,7.8999999994412065,noTrans,
